Function,Expression,Unit,,,,,,,,,,,,,,,,,,,,,,,,,
F01:,UMN(E1),V,,,,,,,,,,,,,,,,,,,,,,,,,
F02:,UMN(E2),V,,,,,,,,,,,,,,,,,,,,,,,,,
F03:,UMN(E3),V,,,,,,,,,,,,,,,,,,,,,,,,,
F04:,UMN(E4),V,,,,,,,,,,,,,,,,,,,,,,,,,
F05:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F06:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F07:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F08:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F09:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F10:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F11:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F12:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F13:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F14:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F15:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F16:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F17:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F18:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F19:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F20:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
Store No.,Date,Time,Millisecond,U-1-Total,I-1-Total,P-1-Total,S-1-Total,Q-1-Total,PF-1-Total,FreqU-1-Total,U-2-Total,I-2-Total,P-2-Total,S-2-Total,Q-2-Total,PF-2-Total,FreqU-2-Total,U-3-Total,I-3-Total,P-3-Total,I-3-Total,Q-3-Total,PF-3-Total,FreqU-3-Total,P-SigmaA-Total,S-SigmaA-Total,Q-SigmaA-Total
1,  2022/02/25,18:04:01,103,277.116,12.281,3.38E+03,3.39E+03,-2.88E+02,0.99638,50.004,277.058,12.237,3.37E+03,3.38E+03,-2.86E+02,0.99642,50.003,276.969,12.285,3.37E+03,12.285,-2.94E+02,0.99621,50.004,1.01E+04,1.02E+04,-8.68E+02
2,  2022/02/25,18:04:01,605,277.116,12.277,3.38E+03,3.39E+03,-2.90E+02,0.99632,50.003,277.101,12.225,3.36E+03,3.38E+03,-2.77E+02,0.99661,49.995,277.023,12.243,3.36E+03,12.243,-2.94E+02,0.99621,50.003,1.01E+04,1.01E+04,-8.61E+02
3,  2022/02/25,18:04:02,105,277.088,12.282,3.38E+03,3.39E+03,-2.87E+02,0.9964,50.003,277.101,12.274,3.37E+03,3.39E+03,-2.89E+02,0.99635,50.004,277.017,12.306,3.38E+03,12.306,-2.85E+02,0.99646,49.995,1.01E+04,1.02E+04,-8.61E+02
4,  2022/02/25,18:04:02,604,277.027,12.291,3.38E+03,3.39E+03,-2.92E+02,0.99628,49.995,277.081,12.272,3.37E+03,3.39E+03,-2.84E+02,0.99648,50.003,276.996,12.28,3.37E+03,12.28,-2.91E+02,0.99629,50.003,1.01E+04,1.02E+04,-8.67E+02
5,  2022/02/25,18:04:03,104,277.121,12.279,3.37E+03,3.39E+03,-2.90E+02,0.99633,50.003,277.023,12.255,3.37E+03,3.38E+03,-2.81E+02,0.99653,50.003,276.982,12.265,3.37E+03,12.265,-2.93E+02,0.99624,50.004,1.01E+04,1.01E+04,-8.64E+02
6,  2022/02/25,18:04:03,604,277.112,12.296,3.38E+03,3.39E+03,-2.95E+02,0.9962,50.003,277.101,12.277,3.38E+03,3.39E+03,-2.83E+02,0.99652,49.995,277.042,12.274,3.37E+03,12.274,-2.86E+02,0.99642,50.004,1.01E+04,1.02E+04,-8.64E+02
7,  2022/02/25,18:04:04,104,277.114,12.281,3.38E+03,3.39E+03,-2.90E+02,0.99633,50.004,277.087,12.238,3.37E+03,3.38E+03,-2.83E+02,0.99648,50.003,277.034,12.271,3.37E+03,12.271,-2.90E+02,0.99633,49.994,1.01E+04,1.02E+04,-8.63E+02
8,  2022/02/25,18:04:04,604,277.109,12.25,3.37E+03,3.38E+03,-2.91E+02,0.99627,50.003,277.083,12.248,3.37E+03,3.38E+03,-2.92E+02,0.99626,50.004,277.01,12.272,3.37E+03,12.272,-2.88E+02,0.99636,50.004,1.01E+04,1.01E+04,-8.72E+02
9,  2022/02/25,18:04:05,104,277.099,12.282,3.38E+03,3.39E+03,-2.82E+02,0.99654,49.995,277.088,12.223,3.36E+03,3.37E+03,-2.74E+02,0.9967,50.004,276.984,12.271,3.37E+03,12.271,-2.87E+02,0.9964,50.004,1.01E+04,1.01E+04,-8.43E+02
10,  2022/02/25,18:04:05,604,277.112,12.289,3.38E+03,3.39E+03,-2.94E+02,0.99622,50.003,277.117,12.254,3.37E+03,3.38E+03,-2.88E+02,0.99638,49.995,276.976,12.245,3.36E+03,12.245,-2.97E+02,0.99612,50.004,1.01E+04,1.01E+04,-8.79E+02
11,  2022/02/25,18:04:06,104,277.069,12.295,3.38E+03,3.39E+03,-2.91E+02,0.9963,50.003,277.09,12.277,3.37E+03,3.39E+03,-2.86E+02,0.99642,50.003,276.991,12.26,3.37E+03,12.26,-2.85E+02,0.99644,49.995,1.01E+04,1.02E+04,-8.63E+02
12,  2022/02/25,18:04:06,605,277.074,12.239,3.36E+03,3.38E+03,-2.88E+02,0.99636,50.004,277.059,12.232,3.36E+03,3.37E+03,-2.90E+02,0.99629,50.004,277.025,12.25,3.36E+03,12.25,-2.92E+02,0.99627,50.004,1.01E+04,1.01E+04,-8.70E+02
13,  2022/02/25,18:04:07,106,277.106,12.301,3.38E+03,3.40E+03,-2.86E+02,0.99646,49.993,277.099,12.244,3.37E+03,3.38E+03,-2.79E+02,0.9966,50.004,277.037,12.286,3.38E+03,12.286,-2.95E+02,0.99621,50.004,1.01E+04,1.02E+04,-8.59E+02
14,  2022/02/25,18:04:07,605,277.119,12.29,3.38E+03,3.39E+03,-2.84E+02,0.99649,50.003,277.079,12.27,3.37E+03,3.38E+03,-2.78E+02,0.99662,49.993,277.015,12.283,3.38E+03,12.283,-2.84E+02,0.99649,50.003,1.01E+04,1.02E+04,-8.45E+02
15,  2022/02/25,18:04:08,104,277.085,12.29,3.38E+03,3.39E+03,-2.90E+02,0.99634,50.003,277.102,12.278,3.38E+03,3.39E+03,-2.90E+02,0.99632,50.004,276.991,12.288,3.38E+03,12.288,-2.88E+02,0.99639,50.003,1.01E+04,1.02E+04,-8.68E+02
16,  2022/02/25,18:04:08,605,277.09,12.275,3.37E+03,3.38E+03,-2.91E+02,0.99629,50.002,277.06,12.274,3.38E+03,3.39E+03,-2.78E+02,0.99662,50.003,277.004,12.27,3.37E+03,12.27,-2.80E+02,0.99657,50.003,1.01E+04,1.02E+04,-8.49E+02
17,  2022/02/25,18:04:09,104,277.149,12.276,3.37E+03,3.39E+03,-2.90E+02,0.99632,49.994,277.079,12.222,3.36E+03,3.37E+03,-2.83E+02,0.99648,50.003,277.016,12.28,3.37E+03,12.28,-2.99E+02,0.9961,50.003,1.01E+04,1.01E+04,-8.72E+02
18,  2022/02/25,18:04:09,606,277.096,12.275,3.37E+03,3.38E+03,-2.94E+02,0.99621,50.003,277.08,12.245,3.37E+03,3.38E+03,-2.90E+02,0.99631,49.994,277.008,12.241,3.36E+03,12.241,-2.94E+02,0.9962,50.003,1.01E+04,1.01E+04,-8.78E+02
19,  2022/02/25,18:04:10,104,277.143,12.279,3.38E+03,3.39E+03,-2.90E+02,0.99632,50.003,277.073,12.252,3.37E+03,3.38E+03,-2.85E+02,0.99643,50.003,276.974,12.279,3.37E+03,12.279,-2.92E+02,0.99628,50.004,1.01E+04,1.02E+04,-8.67E+02
20,  2022/02/25,18:04:10,605,277.091,12.242,3.37E+03,3.38E+03,-2.87E+02,0.99639,50.004,277.1,12.288,3.38E+03,3.39E+03,-2.83E+02,0.99651,50.003,277.052,12.278,3.38E+03,12.278,-2.74E+02,0.99673,49.993,1.01E+04,1.02E+04,-8.43E+02
21,  2022/02/25,18:04:11,103,277.056,12.283,3.38E+03,3.39E+03,-2.94E+02,0.99623,49.992,277.081,12.263,3.37E+03,3.38E+03,-2.88E+02,0.99636,50.003,277.021,12.269,3.37E+03,12.269,-2.97E+02,0.99614,50.004,1.01E+04,1.02E+04,-8.80E+02
22,  2022/02/25,18:04:11,605,277.105,12.297,3.38E+03,3.39E+03,-2.89E+02,0.99636,50.004,277.067,12.244,3.37E+03,3.38E+03,-2.79E+02,0.99659,49.993,277,12.255,3.37E+03,12.255,-2.85E+02,0.99644,50.003,1.01E+04,1.01E+04,-8.53E+02
23,  2022/02/25,18:04:12,105,277.128,12.323,3.39E+03,3.40E+03,-2.91E+02,0.99632,50.003,277.072,12.262,3.37E+03,3.38E+03,-2.81E+02,0.99654,50.005,276.976,12.273,3.37E+03,12.273,-2.93E+02,0.99625,50.003,1.01E+04,1.02E+04,-8.65E+02
24,  2022/02/25,18:04:12,605,277.079,12.257,3.37E+03,3.38E+03,-2.88E+02,0.99637,50.003,277.046,12.27,3.37E+03,3.39E+03,-2.81E+02,0.99656,50.003,277.018,12.256,3.37E+03,12.256,-2.82E+02,0.99652,49.995,1.01E+04,1.01E+04,-8.50E+02
25,  2022/02/25,18:04:13,104,277.099,12.294,3.38E+03,3.39E+03,-2.87E+02,0.99641,49.995,277.111,12.27,3.37E+03,3.39E+03,-2.87E+02,0.9964,50.004,277.02,12.286,3.37E+03,12.286,-2.87E+02,0.99641,50.004,1.01E+04,1.02E+04,-8.61E+02
26,  2022/02/25,18:04:13,605,277.124,12.304,3.38E+03,3.39E+03,-2.99E+02,0.99612,50.003,277.052,12.266,3.37E+03,3.39E+03,-2.96E+02,0.99618,50.004,276.96,12.263,3.37E+03,12.263,-2.99E+02,0.99609,50.004,1.01E+04,1.02E+04,-8.93E+02
27,  2022/02/25,18:04:14,104,277.092,12.251,3.37E+03,3.38E+03,-2.97E+02,0.99614,50.004,277.054,12.252,3.37E+03,3.38E+03,-2.87E+02,0.99639,49.992,276.984,12.244,3.37E+03,12.244,-2.85E+02,0.99643,50.003,1.01E+04,1.01E+04,-8.69E+02
28,  2022/02/25,18:04:14,607,227.552,14.925,3.39E+03,3.39E+03,6.00E+01,0.99984,50.005,227.55,14.936,3.39E+03,3.39E+03,6.20E+01,0.99983,50.004,227.479,14.949,3.39E+03,14.949,6.60E+01,0.99981,49.993,1.02E+04,1.02E+04,1.88E+02
29,  2022/02/25,18:04:15,108,227.467,16.526,3.34E+03,3.75E+03,1.71E+03,0.88975,49.994,227.43,16.597,3.35E+03,3.77E+03,1.73E+03,0.8885,49.992,227.391,16.566,3.34E+03,16.566,1.73E+03,0.88753,50.005,1.00E+04,1.13E+04,5.17E+03
30,  2022/02/25,18:04:15,626,227.702,21.495,3.33E+03,4.89E+03,3.58E+03,0.68157,50.002,227.668,21.44,3.31E+03,4.87E+03,3.58E+03,0.67959,50.002,227.596,21.479,3.33E+03,21.479,3.57E+03,0.68148,49.993,9.97E+03,1.46E+04,1.07E+04
31,  2022/02/25,18:04:16,137,227.578,27.781,3.30E+03,6.32E+03,5.39E+03,0.52227,49.993,227.549,27.796,3.29E+03,6.32E+03,5.40E+03,0.52079,50.004,227.504,27.805,3.29E+03,27.805,5.40E+03,0.51974,50.003,9.88E+03,1.90E+04,1.62E+04
32,  2022/02/25,18:04:16,638,227.448,32.914,3.29E+03,7.48E+03,6.72E+03,0.43945,50.002,227.448,32.945,3.28E+03,7.49E+03,6.73E+03,0.43855,49.994,227.382,32.959,3.27E+03,32.959,6.74E+03,0.43704,50.005,9.85E+03,2.25E+04,2.02E+04
33,  2022/02/25,18:04:17,138,227.612,40.138,3.25E+03,9.13E+03,8.53E+03,0.35635,50.004,227.547,40.212,3.25E+03,9.15E+03,8.55E+03,0.3555,50.003,227.507,40.211,3.24E+03,40.211,8.55E+03,0.35388,49.995,9.74E+03,2.74E+04,2.56E+04
34,  2022/02/25,18:04:17,638,227.38,42.322,3.26E+03,9.62E+03,9.05E+03,0.33914,50.002,227.399,42.277,3.24E+03,9.61E+03,9.05E+03,0.33715,50.005,227.331,42.299,3.26E+03,42.299,9.04E+03,0.33892,50.004,9.76E+03,2.88E+04,2.71E+04
35,  2022/02/25,18:04:18,137,227.305,42.333,3.28E+03,9.62E+03,9.04E+03,0.34143,49.997,227.327,42.339,3.26E+03,9.62E+03,9.05E+03,0.33871,50.004,227.284,42.32,3.26E+03,42.32,9.05E+03,0.33938,50.004,9.81E+03,2.89E+04,2.71E+04
36,  2022/02/25,18:04:18,637,227.352,42.43,3.26E+03,9.64E+03,9.08E+03,0.33797,50.004,227.298,42.449,3.25E+03,9.65E+03,9.08E+03,0.33702,49.994,227.27,42.486,3.25E+03,42.486,9.09E+03,0.33648,50.002,9.76E+03,2.89E+04,2.72E+04
37,  2022/02/25,18:04:19,137,227.402,47.287,3.26E+03,1.08E+04,1.02E+04,0.30287,50.004,227.38,47.282,3.24E+03,1.07E+04,1.02E+04,0.30136,50.004,227.341,47.273,3.24E+03,47.273,1.02E+04,0.30178,49.998,9.74E+03,3.22E+04,3.07E+04
38,  2022/02/25,18:04:19,638,227.386,48.039,3.24E+03,1.09E+04,1.04E+04,0.29664,50.003,227.367,48.02,3.22E+03,1.09E+04,1.04E+04,0.29486,50.003,227.302,48.05,3.24E+03,48.05,1.04E+04,0.29625,50.003,9.69E+03,3.28E+04,3.13E+04
39,  2022/02/25,18:04:20,137,227.308,48.559,3.24E+03,1.10E+04,1.05E+04,0.2939,49.994,227.336,48.539,3.22E+03,1.10E+04,1.06E+04,0.29147,50.003,227.304,48.539,3.23E+03,48.539,1.05E+04,0.2928,50.003,9.69E+03,3.31E+04,3.16E+04
40,  2022/02/25,18:04:20,637,227.341,49.006,3.25E+03,1.11E+04,1.07E+04,0.29163,50.003,227.371,48.987,3.23E+03,1.11E+04,1.07E+04,0.28999,49.996,227.262,49.007,3.24E+03,49.007,1.07E+04,0.29054,50.004,9.71E+03,3.34E+04,3.20E+04
41,  2022/02/25,18:04:21,137,227.338,49.235,3.24E+03,1.12E+04,1.07E+04,0.28964,50.004,227.366,49.259,3.22E+03,1.12E+04,1.07E+04,0.28751,50.004,227.315,49.261,3.23E+03,49.261,1.07E+04,0.28851,50.003,9.69E+03,3.36E+04,3.22E+04
42,  2022/02/25,18:04:21,638,227.353,49.481,3.25E+03,1.12E+04,1.08E+04,0.28868,50.002,227.307,49.465,3.22E+03,1.12E+04,1.08E+04,0.2867,50.003,227.272,49.495,3.24E+03,49.495,1.08E+04,0.28784,49.993,9.71E+03,3.37E+04,3.23E+04
43,  2022/02/25,18:04:22,137,227.338,49.44,3.26E+03,1.12E+04,1.08E+04,0.28972,49.996,227.296,49.422,3.23E+03,1.12E+04,1.08E+04,0.28778,50.003,227.29,49.424,3.24E+03,49.424,1.08E+04,0.2886,50.004,9.73E+03,3.37E+04,3.23E+04
44,  2022/02/25,18:04:22,636,227.347,49.479,3.24E+03,1.12E+04,1.08E+04,0.28806,50.003,227.335,49.443,3.22E+03,1.12E+04,1.08E+04,0.28621,50.004,227.257,49.444,3.23E+03,49.444,1.08E+04,0.28758,50.004,9.69E+03,3.37E+04,3.23E+04
45,  2022/02/25,18:04:23,137,227.363,49.457,3.26E+03,1.12E+04,1.08E+04,0.29002,50.004,227.323,49.495,3.24E+03,1.12E+04,1.08E+04,0.28809,50,227.265,49.473,3.25E+03,49.473,1.08E+04,0.28867,50.005,9.75E+03,3.37E+04,3.23E+04
46,  2022/02/25,18:04:23,637,227.309,49.458,3.25E+03,1.12E+04,1.08E+04,0.28929,50.003,227.353,49.441,3.24E+03,1.12E+04,1.08E+04,0.28805,50.005,227.259,49.469,3.24E+03,49.469,1.08E+04,0.28862,49.995,9.73E+03,3.37E+04,3.23E+04
47,  2022/02/25,18:04:24,140,227.309,49.478,3.23E+03,1.12E+04,1.08E+04,0.28763,49.993,227.319,49.465,3.21E+03,1.12E+04,1.08E+04,0.28552,50.004,227.275,49.452,3.22E+03,49.452,1.08E+04,0.28687,50.004,9.67E+03,3.37E+04,3.23E+04
48,  2022/02/25,18:04:24,636,227.331,49.452,3.25E+03,1.12E+04,1.08E+04,0.28928,50.002,227.329,49.459,3.23E+03,1.12E+04,1.08E+04,0.28717,50.004,227.28,49.452,3.23E+03,49.452,1.08E+04,0.28785,50.006,9.71E+03,3.37E+04,3.23E+04
49,  2022/02/25,18:04:25,139,227.356,49.481,3.24E+03,1.12E+04,1.08E+04,0.288,50.005,227.318,49.467,3.21E+03,1.12E+04,1.08E+04,0.2858,50.004,227.222,49.454,3.23E+03,49.454,1.08E+04,0.28715,50.003,9.68E+03,3.37E+04,3.23E+04
50,  2022/02/25,18:04:25,639,227.356,49.473,3.24E+03,1.12E+04,1.08E+04,0.28778,50.004,227.294,49.459,3.22E+03,1.12E+04,1.08E+04,0.2863,50.015,227.236,49.479,3.22E+03,49.479,1.08E+04,0.28678,50.003,9.68E+03,3.37E+04,3.23E+04
